adresse;codinsee;infoloc;acceshandi;payant;hommes;femmes;unisexe;enfants;web;openinghoursspecification;provenance;gid;lon;lat
Route De St-Germain;69071;;;;;;;;;;Métropole de Lyon;42;4,818717725562384;45,873011612599306
Rue Du Pontet;69071;A l interieur du stade;;;;;;;;;Métropole de Lyon, Open Street Map;43;4,823463100000553;45,87342599999715
Place De L'eglise;69034;Angle rue jean moulin;True;True;True;;;;;;ville de Caluire-et-Cuire, Métropole de Lyon, Open Street Map;23;4,847907700000299;45,79981449999715
47 Rue des Essarts;69029;;True;True;;;;;;;Open Street Map;9;4,895215499999809;45,73249819999716
Place Andrée-Marie Perrin;69069;;True;True;;;;;;;Open Street Map;39;4,723799599355029;45,74660219999264
Place Jean Moulin;69029;Place Jean Moulin;;True;;;;;;"[{'opens': '06:00', 'closes': '23:00', 'dayOfWeek': ['http://schema.org/Monday', 'http://schema.org/Tuesday', 'http://schema.org/Wednesday', 'http://schema.org/Thursday', 'http://schema.org/Friday', 'http://schema.org/Saturday', 'http://schema.org/Sunday']}]";ville de Bron, Open Street Map;14;4,919625799999557;45,74191159999716
2 Rue Auguste Tramier;69081;;True;True;;;;;;;Métropole de Lyon, Open Street Map;48;4,782145100000978;45,77410909999715
28 Chemin du Trouillat;69081;;;;;;;;;;Open Street Map;49;4,767865800001125;45,77570859999715
Avenue Des Granges;69081;;;;;;;;;;Métropole de Lyon, Open Street Map;50;4,773388200001068;45,76881319999716
Place Charles De Gaulle;69081;Face n°6;True;True;;;;;;;Métropole de Lyon, Open Street Map;51;4,778432100001016;45,774742099997155
Place De La Mairie;69085;;True;True;;;;;;;Métropole de Lyon, Open Street Map;52;4,845583600000324;45,86319159999715
50 Rue Gentil;69087;Derriere l eglise;True;True;;;;;;;Métropole de Lyon, Open Street Map;53;4,853521800000241;45,84493699999716
21 Rue Ampère;69088;;True;;;;;;;;Open Street Map;54;4,8628499000001435;45,82157729999716
Place des Marronniers;69088;;True;True;;;;;;;Open Street Map;55;4,863124000000141;45,81587229999716
11 Quai de la Gare d'Eau;69091;;;;;;;;;;Open Street Map;60;4,772105600001071;45,58657729999716
Avenue Du 11 Novembre 1918;69091;Face pompe à essence;;;;;;;;;Métropole de Lyon, Open Street Map;61;4,770678200001085;45,594592799997145
Cité Ambroise Croizat;69091;Dans la cité;;;;;;;;;Métropole de Lyon, Open Street Map;62;4,767707000001115;45,59706319999715
Quai Des Martyrs Du 8 Février 1962;69091;;;;;;;;;;Métropole de Lyon, Open Street Map;63;4,772675500001065;45,58716649999715
Rue Pierre Et Marie Curie;69091;Angle cité ambroise croizat;;;;;;;;;Métropole de Lyon, Open Street Map;65;4,768793700001105;45,59791109999716
Rue Victor Hugo;69091;Square colonel fabien;;;;;;;;;Métropole de Lyon, Open Street Map;67;4,770979300001082;45,58977419999715
49 Allée de la Clairière;69096;;;;;;;;;;Open Street Map;68;4,80045000000078;45,61401039999715
8bis Rue Fleury Jay;69096;;;True;;;True;;;;Open Street Map;69;4,799303000000794;45,61207129999715
Rue Du Moulin;69091;Angle rue montrond;True;True;;;;;;;Métropole de Lyon, Open Street Map;64;4,760869600001186;45,58779989999715
Chemin De Chantegrillet;69089;Chemin de chantegrillet - parc du grillon;True;True;;;;;;;Métropole de Lyon, Open Street Map;58;4,773836500001061;45,738058699997154
Avenue Du 19 Mars 1962;69096;Angle rue pasteur - côté intermarché;;;;;;;;;Métropole de Lyon, Open Street Map;70;4,780628600000984;45,60494239999714
16 Rue De Taillepied;69100;Façe n° 16 (ancien cimetière).;;;;;;;;;Métropole de Lyon, Open Street Map;72;4,818219300000601;45,674326199997154
Chemin De Presles;69100;Intérieur du nouveau cimetière;;;;;;;;;Métropole de Lyon, Open Street Map;73;4,815319300000631;45,680937399997156
Place Decurel;69116;;;;;;;;;;Métropole de Lyon, Open Street Map;74;4,772514000001081;45,835808999997155
15 Allée Louis Raymond;69127;;;;;;;;;;Métropole de Lyon, Open Street Map;75;4,7049855000017775;45,78110549999715
3 Avenue Georges Bassinet;69127;;True;True;;;;;;;Open Street Map;76;4,729479500001522;45,78621469999716
Chemin De Chassagnes;69142;Angle allée du cimetière;;;;;;;;;Métropole de Lyon, Open Street Map;79;4,806597600000723;45,725816599997145
Rue De Verdun;69142;Angle rue maréchal de lattre de tassigny;True;True;;;;;;;Métropole de Lyon, Open Street Map;80;4,80970910000069;45,72895289999715
Avenue Jean Christophe;69143;Place jean christophe;True;True;;;;;;;Métropole de Lyon, Open Street Map;81;4,836575800000418;45,879749099997156
Place des Anciens Combattants d'Afrique du Nord;69143;;;;;;;;;;Open Street Map;84;4,841807700000363;45,875113499997155
1 Rue Etienne Dolet;69149;;True;True;;;;;;;Open Street Map;86;4,806986500000718;45,71379929999715
13 Rue Fernand Forest;69149;;;;;;;;;;Open Street Map;88;4,803634500000754;45,721992999997155
17bis Rue du Perron;69149;;True;True;;;;;;;Open Street Map;89;4,806531000000723;45,71295459999716
Place De La Porte De Lyon;69072;Sur le parking ;True;True;;;;;;;ville de Dardilly, Métropole de Lyon, Open Street Map;47;4,761094100001198;45,82031249999715
Place De L'hôtel De Ville;69089;;True;True;;;;;;;Métropole de Lyon, Open Street Map;59;4,764039800001163;45,73608629999716
Rue Pierre Sémard;69149;Angle rue aulagne;True;True;True;;;;;;Métropole de Lyon, Open Street Map;92;4,812428300000661;45,717314499997165
Place De La Mairie;69153;;;;;;;;;;Métropole de Lyon, Open Street Map;98;4,8001453000007945;45,85618739999717
30 Rue de la République;69163;;True;;;;True;;;;Open Street Map;99;4,778720100001021;45,91456449999715
600 Rue du Musée;69168;;True;True;;;;;;;Open Street Map;100;4,837037800000411;45,84430429999715
Esplanade Du Mont Cindre;69191;A proximité de la Tour Relai;;;;;;;;;ville de Saint-Cyr-au-Mont-d'Or, Métropole de Lyon, Open Street Map;101;4,820063100000587;45,82299889999715
Place De La République;69191;A proximité de l'arrêt de bus;True;True;;;;;;;ville de Saint-Cyr-au-Mont-d'Or, Métropole de Lyon, Open Street Map;102;4,819298700000594;45,81430399999716
Place Abbé Boursier;69194;Derrière l'église, sous le parking Pradel;;;;;;;;;ville de Saint-Didier-au-Mont-d’Or, Métropole de Lyon, Open Street Map;104;4,799134400000804;45,809992799997154
Rue Commandant Israel;69194;Devant entree cimetiere;;;;;;;;;Métropole de Lyon, Open Street Map;105;4,798187100000813;45,80772579999716
22 Avenue Antoine Gravallon;69199;;;;;;;;;;Open Street Map;107;4,862383100000148;45,70365209999716
Avenue Antoine Gravallon;69199;Proche angle rue du docteur louis jugnet;;;;;;;;;Métropole de Lyon, Open Street Map;108;4,862740900000144;45,70268979999717
Rue De Bellevue;69199;Proche cimetières des clochettes  yves farges;;;;;;;;;Métropole de Lyon, Open Street Map;109;4,856898500000204;45,698789899997145
Rue Montesquieu;69199;;;;;;;;;;Métropole de Lyon, Open Street Map;110;4,861060900000162;45,71281089999716
10 Boulevard Baron Du Marais;69202;;;;;;;;;;Métropole de Lyon, Open Street Map;111;4,8047455000007435;45,73580939999716
2 Rue Léon Granier;69202;;;;;;;;;;Open Street Map;112;4,785364300000943;45,735303799997155
33 Avenue du 11 Novembre;69202;;;;;;;;;;Open Street Map;113;4,795907900000833;45,73618469999715
48 Boulevard des Provinces;69202;;;;;;;;;;Open Street Map;115;4,800440700000788;45,74779419999716
93 Place Henri Révy;69202;Route de la libération - face n° 93 ;;;;;;;;;Métropole de Lyon, Open Street Map;116;4,778850300001009;45,72538209999716
Rue Jean-Léon Blondeau;69202;Angle chemin des fonds;;;;;;;;;Métropole de Lyon, Open Street Map;118;4,7834710500053435;45,744219949997145
16 Avenue Marcel Paul;69259;;True;True;;;;;;;Open Street Map;159;4,882519699999939;45,69950069999715
2 Rue De La Chapelle De Bel Air;69089;;True;True;;;;;;;Métropole de Lyon, Open Street Map;56;4,7562540000012445;45,74708649999717
Place Laurent Paul;69202;Angle rue laurent paul;True;True;;;;;;;Métropole de Lyon, Open Street Map;117;4,789822000000897;45,746147399997156
Rue Du Cimetière;69191;En face du Cimetière;;True;;;;;;;ville de Saint-Cyr-au-Mont-d'Or, Métropole de Lyon, Open Street Map;103;4,813527200000654;45,810479699997146
12 Rue Berthelot;69149;;True;True;;;True;;;;Open Street Map;87;4,800391500000787;45,718834699997146
Allée Des Ecoles;69127;Parking en face de l'école;True;;;;;;;;Métropole de Lyon, Open Street Map;77;4,708206200001743;45,78284269999715
 Place Maréchal Joffre;69204;Place Maréchal Joffre;True;True;;;;;;;ville de Saint-Genis-Laval, Métropole de Lyon, Open Street Map;120;4,79317570000086;45,69457529999715
