longitude,latitude,Nom de l'installation,prompt
50.6294158676,3.07331254966,LABORATOIRES ANIOS,seveso
43.9946736386,4.858163708,EURENCO Sorgues,seveso
45.1738956644,5.70490683837,SANDVIK HYPERION SAS,seveso
46.5587679194,4.90786441819,VALSPAR FRANCE CORPORATION,seveso
49.2275254363,5.93759944992,TITANOBEL (Moutiers),seveso
49.1432533613,6.70864407002,TPF,seveso
48.7195792267,-0.0505903933293,DISTRISERVICES,seveso
47.7600027729,7.37528403294,BOLLORE ENERGIE Riedisheim,seveso
46.5472616765,0.777749456401,CENTRE OUEST CEREALES,seveso
43.4088859896,-0.6247844278,Séché éco-industries,seveso
47.9475013592,6.76906916638,SCIERIE GERMAIN-MOUGENOT,seveso
46.4995164802,-1.79025046818,CAVAC UCA,seveso
45.7454220428,3.16148448315,ANTARGAZ,seveso
48.2281582652,2.70595763426,KERAGLASS,seveso
48.117398444,-0.843034690428,SECHE ECO INDUSTRIES,seveso
44.8348837976,0.502227997188,MARY ARM,seveso
46.9971482309,5.34102752388,INTERVAL,seveso
48.2824014954,-2.80800774524,FINAGAZ,seveso
48.3152334728,3.24625231154,TITANOBEL,seveso
49.2918860468,1.10428652743,SAGA FRANCE,seveso
47.1892300009,-1.6213785194,SOGEBRAS (ex COGEMAR ex SCAC Cheviré),seveso
47.3841439747,0.743329835471,PRIMAGAZ CGP,seveso
45.7132908891,-0.368748172963,MARTELL,seveso
48.7399057258,1.92286659991,TRAPIL,seveso
43.8881275869,4.52689786888,HYDRAPRO SAS,seveso
45.6565919729,4.84436161919,RHONE GAZ,seveso
50.2659200242,2.71990877929,PRIMAGAZ,seveso
44.870322274,-0.729189639482,HERAKLES SA,seveso
49.2849952134,2.50678281434,CHEMOURS FRANCE,seveso
49.2084232322,0.71140851376,HOWA TRAMICO,seveso
49.9303364391,2.26516125172,SCA NORIAP PL1 (ex IPBM),seveso
45.7777412752,5.0279840384,Merck Santé,seveso
45.6951464906,4.84526146346,BLUESTAR SILICONES FRANCE SAS,seveso
48.533952516,4.12635989168,SCARA - Arcis-sur-Aube,seveso
44.0025713181,4.8759316125,CAPL,seveso
50.1412438557,4.81281969008,ARDENITY SAS,seveso
43.4191499062,4.7349372116,M2I SALIN,seveso
47.3904698835,1.48393072954,STORENGY,seveso
45.0556225891,5.09362428928,COVESTRO ELASTOMERS,seveso
48.7708840423,1.51879710079,SCAEL,seveso
49.4978349172,0.529774864073,EXXONMOBIL CHEMICAL FRANCE,seveso
43.5963939481,4.8523644677,EURENCO,seveso
43.4904673984,5.18856975757,COMPAGNIE PETROCHIMIQUE DE BERRE SAS,seveso
47.2780337116,-1.47307534917,SYSTEME U (Haute Forêt),seveso
47.2671573168,-1.49479577076,AIR LIQUIDE FRANCE INDUSTRIE (Carquefou),seveso
47.5192007447,-0.614695204613,ZaCh System SA,seveso
43.2490230669,0.0847582647895,NEXTER MUNITIONS SA,seveso
47.0112289305,2.31512957466,VIA LOGISTIQUE,seveso
46.290746591,4.82514904737,STODIS (Ex STOGAZ),seveso
49.1407980748,6.70916778782,ARKEMA,seveso
45.3387252041,4.80147025401,THOR,seveso
44.9152892546,-0.535514309005,LINDE GAS,seveso
44.9258921511,-0.520629439881,FORESA FRANCE SAS,seveso
49.4097896475,1.02167997353,RUBIS TERMINAL,seveso
48.0801205899,-1.72877567759,QUARON,seveso
49.4274565076,2.12532443916,DSV SOLUTIONS FRANCE,seveso
50.3577794774,3.27570658517,COEUR GAMMA,seveso
49.1036342628,1.46177723473,STEINER,seveso
47.5833759283,7.57896477035,BASF,seveso
45.0499800248,3.96840814267,MERCK SHARP & DOHME CHIBRET LABORATOIRES,seveso
48.2355795471,4.07851341255,PROLOGIS FRANCE LXII,seveso
48.0779749601,-1.72698294448,TRIADIS Service,seveso
50.4667497927,2.89827535906,NORTANKING(ex oil tanking),seveso
50.0624809875,1.39598842789,SGD,seveso
45.7127247012,4.83281043618,ENTREPOT PETROLIER DE LYON,seveso
43.4113688266,-0.629437557586,TORAY CARBON FIBERS EUROPE SA,seveso
43.44874091,4.92700912301,ESSO Raffinage SAS,seveso
47.793253508,7.19658862953,STOCKMEIER Urethanes France SAS,seveso
49.8752911291,3.04332939703,BONDUELLE EUROPE LONG LIFE,seveso
47.6289518408,7.23772977361,HOLCIM HAUT-RHIN,seveso
49.4952455139,0.507825194502,CASLA,seveso
44.0956686406,4.72919585224,Compagne des Gaz de Pétrole PRIMAGAZ,seveso
48.9114731046,2.36311919968,TECHNIC FRANCE,seveso
49.4156283638,2.2385704085,KUEHNE+NAGEL LOGISTIQUE PA du Nid de,seveso
43.834390612,5.78072421668,GEOSEL  MANOSQUE,seveso
43.5296939271,3.69221841089,STE FERMIERE DU LANGUEDOC,seveso
43.4937711519,-0.780570156113,ARKEMA France,seveso
46.3665855404,3.52587761091,COOPACA,seveso
49.1414090813,6.71445213491,ARKEMA,seveso
43.0234061131,3.06131996858,FOSELEV LOGISTIQUE,seveso
46.1670194708,2.83610672087,ROCKWOOL FRANCE SAS,seveso
49.9394061595,2.26310972867,ID Logistics France - Site AMIENS 1,seveso
46.8022887271,-0.141033316282,SCORI,seveso
46.8276690557,4.86746978994,GE WATER - PROCESS TECHNOLOGIES,seveso
47.7847165911,-3.44394328686,SICOGAZ,seveso
43.0238225152,3.05638050052,ANTARGAZ,seveso
42.8795378407,2.85694795816,TITANOBEL,seveso
43.4319321815,3.75396655444,GDH (GESTION DE DEPOTS D'HYDROCARBURES),seveso
45.8099160252,1.28205169221,MAZAL,seveso
48.946222843,2.27606599067,TOTAL MARKETING FRANCE,seveso
49.317681146,1.06613243636,GEODIS LOGISTICS NORD,seveso
49.0124646505,2.08882687609,SAINT GOBAIN ABRASIVES,seveso
44.2843712405,2.5040583346,SOBEGAL,seveso
48.3681138878,4.80146649463,STOROPACK FRANCE,seveso
48.9452552326,2.31971353746,UNIVAR,seveso
49.8234147496,3.32154876356,SAS SICAPA,seveso
50.5682381429,3.06605089379,AIR PRODUCTS,seveso
49.3881223657,2.57131238885,ART DE CONSTRUIRE,seveso
47.590347479,6.89027281362,BOLLORE ENERGIE,seveso
48.9916214325,1.75734983376,PCAS,seveso
44.7734719715,-0.546180429942,GAZECHIM SA,seveso
49.3184449073,1.18901613652,AZEO,seveso
48.5140250039,3.62678482014,ICOA - Crancey,seveso
48.9324576619,2.29621285817,SNECMA,seveso
48.2964760881,0.0993155104851,AGRIAL SCA,seveso
43.024162744,3.05922466424,EPPLN,seveso
44.9144211288,-0.486855639006,MESSER FRANCE SAS,seveso
48.0975243074,-1.42266417369,SA GRUEL FAYER,seveso
48.6990708642,-3.15770208632,TIMAC AGRO,seveso
43.6275658607,4.87833766749,DECATHLON,seveso
42.7643549954,1.755916977,IMERYS TALC  LUZENAC FRANCE,seveso
48.6405294295,6.2673170421,NOVACARB,seveso
43.4085535121,-0.626912887484,SOBEGAL - Lacq,seveso
47.9425857792,1.95390653573,ORRION CHEMICALS ORGAFORM,seveso
47.5293803303,5.14206447322,DIJON CEREALES-is/tille,seveso
50.9314216923,1.86666378476,SYNTHEXIM (Site Calaire),seveso
47.6206412412,4.32210720217,SALZGITTER Mannesmann Stainless Tubes,seveso
45.7154448895,4.98591473173,SAFRAM,seveso
45.2539331031,4.93319813843,NOBEL SPORT,seveso
45.7606809758,4.91933459402,DAFFOS ET BAUDASSE,seveso
47.3871268419,0.742965615751,GPSPC Sud,seveso
44.9051799268,-0.524084817246,CHAUSSADE-DUBOE TRANSPORTS - CD TRANS,seveso
48.763483459,2.68742799652,STEN,seveso
49.290821178,6.1658655269,AIR LIQUIDE FRANCE INDUSTRIE (ALFI),seveso
43.6392274175,1.42558296354,ESSO SAF,seveso
45.5908363738,4.77456421897,TOTAL ADDITIFS ET CARBURANTS SPECIAUX,seveso
45.0102640739,-0.546315748849,VERMILION REP S.A.S.,seveso
45.8731739018,0.815229885746,INTERNATIONAL PAPER,seveso
49.2559304614,-0.268088473786,DMS - DCA - MORY - SHIPP,seveso
49.672618791,0.905770252156,LEPICARD AGRICULTURE YERVILLE,seveso
49.2246205602,-1.09908856806,KMG ULTRA PURE CHEMICALS,seveso
45.6572294714,5.05510410627,LAMBERT ET VALETTE / GROUPE HEPPNER,seveso
46.169819703,-1.20612459116,SDLP,seveso
50.2866725132,3.33615417641,SNCZ,seveso
45.2883886781,5.62209299157,AIR LIQUIDE FRANCE INDUSTRIE,seveso
43.3840258084,-0.604141775902,CEREXAGRI SA,seveso
47.9268378528,0.192201977031,BUTAGAZ SAS,seveso
45.6816487771,-0.182477878028,LOUIS ROYER  SAS,seveso
43.5037664032,5.18607143792,COMPAGNIE PETROCHIMIQUE DE BERRE SAS,seveso
49.0640887355,2.01683015833,PANHARD DEVELOPPEMENT,seveso
49.419761032,4.28329059169,Cooperative Agricole de Juniville,seveso
44.888778013,4.86211373446,LABORATOIRE OXENA,seveso
47.2000464914,-1.63775033594,BRENNTAG,seveso
43.7702673956,1.67349350493,BRENNTAG SA,seveso
45.8926427881,4.81282371012,BASF AGRI-PRODUCTION,seveso
44.994097133,-0.852976110392,SAFRAN SME,seveso
45.2925087912,5.62504393455,STEPAN EUROPE,seveso
45.8353116431,5.27526674105,CARREFOUR SUPPLY CHAIN,seveso
46.2958947448,2.74686176416,ADISSEO FRANCE SAS,seveso
47.0187236339,4.86413576252,COOP. AGRI. ET VITICOLE BOURGOGNE DU SUD,seveso
42.5429420516,9.52255574405,DPLC,seveso
