latitude,longitude
49.05936,2.28263
43.590861,1.399065
43.710541,7.201861
49.74339,2.67662
43.64658,1.46013
45.9092,-0.9653
47.0883,4.7556
48.59375,-1.41286
47.114235,2.611574
50.44641,2.83944
43.58519,1.49663
50.68421,3.13346
47.3168,5.07991
49.091,5.2326
47.645962,5.180054
48.9207,-1.08303
50.4347,2.8484
47.302985,4.50281
47.302835,4.503231
48.66478,-1.3671
48.59631,-1.40713
48.425255,-0.299788
50.424217,3.01685
49.45061,-1.34994
47.038745,3.139964
46.935,4.6691
45.5784,5.82376
45.85361,3.11472
46.285,2.40286
43.59722,4.76084
48.50718,1.463404
48.50736,1.46338
47.29333,-1.74453
50.29578,3.85388
48.76852,2.61274
49.052103,6.170171
42.80218,3.030407
48.700083,6.971603
48.043,-1.94317
49.08636,1.1882
49.57449,2.2023
48.0532,-1.91588
43.5468,6.80423
48.057448,-1.680085
45.71594,3.15225
42.76709,2.89969
47.67987,-1.46141
45.49753,3.2555
43.50612,5.50822
42.5381,3.0272
47.73548,5.19463
45.49594,6.0632
49.3546,1.0827
49.0704,2.24711
48.192497,0.830108
43.533881,6.871259
48.1701,4.3245
48.15867,6.48605
47.075636,2.274846
48.730205,3.906032
46.35551,2.80366
45.73042,-0.62311
47.74799,1.53901
47.89004,1.85813
47.054358,-0.920699
48.66979,5.91715
48.57917,2.63788
49.984758,1.683684
48.7037,2.44358
48.26519,1.85257
47.1883,2.16616
46.466315,4.880352
44.70121,3.28069
50.4485,2.58465
49.25938,-0.38312
44.0559,0.88012
45.11091,3.13624
48.78852,1.626852
45.1108,3.13646
47.9689,-3.98777
48.4548,-4.37707
50.38616,1.87375
50.86398,1.7402
44.35389,1.46445
47.0998,-1.47264
43.507556,4.860163
50.319937,3.60362
45.8752,3.64095
46.38436,-0.36723
45.37292,4.80638
48.3351,6.8941
48.99326,1.193836
45.370988,5.491938
47.994335,1.854396
48.26556,1.85308
43.512,5.45668
48.192203,0.830547
47.275026,-1.540395
48.176342,5.730125
42.68988,2.82703
48.101803,-1.432711
48.3295,4.1133
48.3647,4.16042
45.469651,5.4011
42.6081,2.98456
48.27307,3.89477
48.011707,-1.59979
42.70675,2.98598
49.85744,2.41556
48.7129,2.308
46.465533,4.879322
47.773558,7.362957
47.958419,7.308257
46.085752,6.088236
48.434486,-2.817417
48.790311,2.070456
43.740074,-1.035058
43.721155,-1.12237
46.049706,6.080695
47.773536,7.362936
47.95778,7.30806
48.610522,-3.276339
48.853662,1.179271
48.86851,1.17674
43.13768,6.04168
47.086,5.4204
46.0038,4.73286
48.038988,-4.076303
48.518535,-4.045053
43.45083,-1.492198
45.616445,5.896973
46.972338,-0.807677
48.341,6.3139
47.905,-1.6849
47.116119,-0.826199
49.305,2.4529
48.548,-3.4115
48.416,-2.308
48.51575,-2.03866
49.138,1.182
43.857986,-0.722169
43.85137,-0.738436
47.671,-2.9395
48.509,0.3452
44.883648,-0.333458
47.156,-1.3227
48.832194,2.154142
49.534,4.4246
48.656155,4.17437
45.266063,4.150615
48.423793,2.140934
48.485161,2.194555
46.827144,-0.423377
50.328517,2.875154
44.417805,3.183342
45.45964,4.486546
48.8543,2.25437
46.62896,0.35564
43.5135,-1.46733
49.17486,-0.31164
48.7741,2.40784
49.1069,6.14738
48.89645,2.30974
50.41841,2.41399
43.38001,5.35354
46.31121,4.83825
48.00498,0.37071
48.89004,2.39613
48.8167,2.44854
50.53378,2.60465
44.6635,-0.3842
45.67848,0.14837
45.61721,0.1006
47.80291,0.31546
46.18153,-1.13972
46.11793,-1.1071
45.77271,4.83601
45.76357,4.80266
45.4932,6.51932
44.63378,4.77037
45.2242,4.81691
46.78971,4.84233
48.18697,-1.96266
48.10572,-1.50378
49.92349,2.32861
48.45588,2.60473
48.45603,2.60488
44.88349,-0.55534
43.73442,7.25137
44.1232,4.79898
48.92981,2.36345
48.88333,2.26472
43.66582,7.20722
48.49267,7.55745
41.93201,8.75645
47.13053,-1.73999
47.19506,-1.85438
43.61005,1.41945
45.91482,6.08237
46.05159,6.08709
43.4229,5.37299
43.3278,5.37814
43.35563,5.3471
43.34427,5.34679
43.30666,3.44236
43.494064,3.776145
43.42333,3.74408
48.01813,2.11227
48.15247,2.76366
48.08149,-1.69679
48.04582,-1.63036
49.45188,1.14532
43.94884,4.84067
43.94887,4.84069
47.78869,-3.25268
48.08683,-3.55049
49.22406,2.54604
49.22665,2.54273
48.60649,6.33212
48.77026,1.98503
48.3913,-4.40205
46.92863,-1.26183
46.61224,-1.0395
45.26191,5.52653
45.65505,5.11342
45.48273,4.8323
41.98769,8.77188
49.04783,2.33193
48.5429,1.54604
48.93387,2.56774
46.21175,5.29042
48.75138,1.45159
47.67198,6.92381
44.50116,3.46284
47.77277,7.22639
44.73788,4.64336
44.89669,2.40773
49.49519,1.6849
45.88424,5.16879
49.24496,3.03571
46.26858,3.48903
46.23546,3.28459
46.17012,3.45748
46.45832,3.36763
45.05807,4.84064
43.08329,2.94368
44.52474,2.3331
45.81743,0.06857
45.80214,-0.13577
47.33708,4.95722
47.25353,5.08055
47.33701,5.03369
45.15661,0.77934
45.22916,0.67979
44.39963,4.7043
44.70534,4.80003
43.94883,4.67539
43.94882,4.77246
44.48154,1.40138
44.23888,0.49729
44.50246,0.16753
49.94754,3.23867
46.88885,5.72928
44.04511,2.97343
46.98935,3.25853
48.95811,2.84479
48.97724,2.23349
46.57785,5.44001
44.35989,4.18885
48.71967,3.53421
48.67391,2.34275
49.16668,6.87561
49.11965,6.21497
49.4454,1.2005
44.47583,6.03457
47.53431,1.41633
45.6354,-0.97539
49.23461,4.03943
46.31879,-0.99235
48.83791,2.22399
48.8268,2.15161
44.99301,4.99052
45.57308,-0.76019
48.11581,-1.36965
47.8408,-1.72092
47.64114,6.85237
43.98956,4.9038
43.86528,4.99709
48.83241,2.28062
48.88572,2.28803
46.78682,1.68372
48.86087,2.41399
43.78758,3.87394
43.68044,3.82139
49.15467,0.72225
46.92244,1.29655
47.75802,7.35231
48.76259,2.41895
48.76239,2.41901
43.17309,0.97521
43.17349,0.97559
49.13881,6.81451
49.2977,1.12069
45.56784,5.35584
45.35878,5.9977
43.42323,0.04954
47.76133,-1.93972
43.21835,5.81183
47.33407,1.20635
46.42902,4.40949
46.2394,4.04019
47.62763,6.17827
49.22405,0.9473
49.14012,0.65222
48.719,-1.40957
45.00722,3.87917
49.9185,1.10488
45.29287,4.14182
48.57881,-3.73758
48.5787,-3.73713
16.25425,-61.56124
48.38294,-2.37652
48.24163,-3.3369
48.2452,-3.34723
50.9345,1.88208
50.50315,1.76615
50.803,2.10876
45.5569,4.28565
47.11753,3.22756
47.90534,1.89729
47.93455,1.7618
45.12362,1.55456
45.22226,1.42767
48.85013,2.55588
48.48442,5.11311
48.37656,5.1565
48.54187,-0.49413
14.80932,-61.02076
14.58958,-60.98281
14.52809,-60.98237
14.66466,-60.96781
14.61142,-61.06535
14.61154,-61.06998
43.46441,-0.70353
44.55284,4.89382
45.04349,-0.46663
43.49391,-1.52397
43.60445,7.06149
43.17541,-0.54974
48.86819,2.22461
48.55733,-3.17928
46.55238,6.0142
46.26278,-0.46651
45.41662,5.33245
-20.88223,55.46355
-20.88632,55.48368
43.25688,0.07205
47.96298,3.72857
43.53641,5.19178
49.16313,0.70935
49.20909,0.7688
43.68571,7.1977
44.04822,6.13947
48.69258,3.39995
44.12468,1.15088
44.03106,1.23141
43.93981,1.21917
46.72308,0.42488
46.63122,0.24254
47.89996,6.72747
47.87434,6.83843
49.10263,-1.48766
49.64416,-1.47515
48.2968,-0.91783
48.06907,-0.75272
48.07663,-0.97332
47.96125,-0.70397
48.46027,-0.19704
48.63827,7.72804
48.86317,7.70085
48.1714,7.10899
48.06842,7.32789
47.8357,7.34161
46.70356,4.41479
46.73646,4.91729
46.78485,4.89023
43.99942,2.16705
43.56791,2.03059
49.25473,4.0023
49.22972,4.03263
48.94732,4.36034
49.1389,4.2282
42.78215,2.98764
42.59905,2.85651
42.6542,2.92633
48.11431,0.34573
48.02078,-0.09618
47.99672,0.17226
43.88555,5.86389
44.07632,6.01988
43.85757,5.83217
44.11609,5.99328
44.19723,5.94926
47.10975,2.414
47.65842,6.36386
45.81964,-1.08287
45.91993,-0.5256
48.60302,5.03098
48.27245,5.11446
48.13863,5.05021
47.95924,5.27387
47.7759,5.65375
45.73826,4.09434
45.29275,4.62052
45.62226,4.34593
43.25053,6.54954
43.125,6.17853
43.13211,5.86711
43.33468,6.08662
46.0076,5.17567
46.17674,5.921
45.92786,5.10135
